Transaction Date,Description,Amount
2026-01-03,WHOLE FOODS MARKET,87.42
2026-01-05,UNITED AIRLINES,412.00
2026-01-06,CHIPOTLE MEXICAN GRILL,18.75
2026-01-07,NETFLIX,15.49
2026-01-08,SHELL OIL,54.20
2026-01-10,SWEETGREEN,16.30
2026-01-11,DELTA AIR LINES,289.00
2026-01-13,TRADER JOES,63.18
2026-01-14,MCDONALDS,12.45
2026-01-15,SPOTIFY,9.99
2026-01-16,CVSPHARMA,34.60
2026-01-18,MARRIOTT HOTELS,198.00
2026-01-20,AMAZON.COM,142.37
2026-01-21,UBER,24.10
2026-01-22,KROGER,91.55
2026-01-23,DOMINOS PIZZA,31.20
2026-01-24,CON EDISON,110.00
2026-01-25,HULU,17.99
2026-01-26,CHEVRON,61.40
2026-01-27,STARBUCKS,8.75
2026-01-28,HILTON HOTELS,225.00
2026-01-29,LYFT,19.85
2026-01-30,SAFEWAY,74.90
2026-02-01,EMIRATES,680.00
2026-02-03,PANERA BREAD,22.10
2026-02-04,WALGREENS,28.75
2026-02-05,COSTCO,187.63
2026-02-06,SOULCYCLE,35.00
2026-02-07,EXXONMOBIL,58.90
2026-02-08,DOORDASH,41.55
2026-02-10,HBO MAX,15.99
2026-02-11,HYATT HOTELS,310.00
2026-02-12,METRO TRANSIT,32.00
2026-02-13,APPLE.COM,9.99
2026-02-14,CHEESECAKE FACTORY,78.40
2026-02-15,TARGET,123.45
2026-02-17,SOUTHWEST AIRLINES,174.00
2026-02-18,SPROUTS FARMERS MARKET,56.30
2026-02-19,TACO BELL,14.25
2026-02-20,DISNEY PLUS,13.99
2026-02-21,BP GAS,49.80
2026-02-22,SHAKE SHACK,29.60
2026-02-23,NATIONAL GRID,95.00
2026-02-24,AMAZON PRIME,14.99
2026-02-25,HERTZ RENTAL,210.00
2026-02-26,OLIVE GARDEN,62.15
2026-02-27,RITE AID,21.40
2026-02-28,SAMS CLUB,145.00
2026-03-01,UNITED AIRLINES,530.00
2026-03-02,NOBU RESTAURANT,185.00
