Transaction Date,Description,Amount
2026-01-02,WHOLE FOODS MARKET,94.18
2026-01-04,AMERICAN AIRLINES,365.00
2026-01-05,SWEETGREEN,17.80
2026-01-06,NETFLIX,15.49
2026-01-07,BP GAS,52.30
2026-01-09,NOBU RESTAURANT,210.00
2026-01-10,DELTA AIR LINES,445.00
2026-01-12,TRADER JOES,58.74
2026-01-13,SUBWAY,11.40
2026-01-14,SPOTIFY,9.99
2026-01-15,WALGREENS,31.20
2026-01-17,HYATT HOTELS,340.00
2026-01-19,AMAZON.COM,98.65
2026-01-20,LYFT,22.50
2026-01-21,KROGER,85.30
2026-01-22,CHIPOTLE,19.45
2026-01-23,CON EDISON,108.00
2026-01-24,HULU,17.99
2026-01-25,SHELL OIL,60.10
2026-01-26,STARBUCKS,9.25
2026-01-27,MARRIOTT HOTELS,275.00
2026-01-28,UBER,31.40
2026-01-29,PUBLIX,102.85
2026-01-31,BRITISH AIRWAYS,820.00
2026-02-02,PANDA EXPRESS,18.60
2026-02-03,CVSPHARMA,27.50
2026-02-04,COSTCO,203.45
2026-02-05,PELOTON,44.00
2026-02-06,CHEVRON,55.75
2026-02-07,GRUBHUB,38.90
2026-02-09,HBO MAX,15.99
2026-02-10,IHG HOTELS,295.00
2026-02-11,MTA METRO CARD,33.00
2026-02-12,APPLE.COM,9.99
2026-02-13,THE CAPITAL GRILLE,145.00
2026-02-14,WALMART,118.22
2026-02-16,JETBLUE AIRWAYS,210.00
2026-02-17,SPROUTS FARMERS MARKET,49.60
2026-02-18,WENDYS,13.80
2026-02-19,DISNEY PLUS,13.99
2026-02-20,EXXONMOBIL,63.40
2026-02-21,FIVE GUYS,27.35
2026-02-22,NATIONAL GRID,92.00
2026-02-23,AMAZON PRIME,14.99
2026-02-24,AVIS RENTAL,185.00
2026-02-25,CARMINE'S ITALIAN,88.50
2026-02-26,RITE AID,19.80
2026-02-27,BJS WHOLESALE,138.00
2026-02-28,UNITED AIRLINES,495.00
2026-03-01,NOBU RESTAURANT,220.00
